Mass of chassis: 1.25
Time X Y Z
0 0 0.16 0
0.001 0 0.15999 0
0.002 0 0.159971 0
0.003 0 0.159941 0
0.004 0 0.159902 0
0.005 0 0.159853 0
0.006 0 0.159794 0
0.007 0 0.159725 0
0.008 0 0.159647 0
0.009 0 0.159559 0
0.01 0 0.15946 0
0.011 0 0.159353 0
0.012 0 0.159235 0
0.013 0 0.159107 0
0.014 0 0.15897 0
0.015 0 0.158823 0
0.016 0 0.158666 0
0.017 0 0.158499 0
0.018 0 0.158323 0
0.019 0 0.158136 0
0.02 0 0.15794 0
0.021 0 0.157734 0
0.022 0 0.157518 0
0.023 0 0.157292 0
0.024 0 0.157057 0
0.025 0 0.156812 0
0.026 0 0.156557 0
0.027 0 0.156292 0
0.028 0 0.156017 0
0.029 0 0.155733 0
0.03 0 0.155438 0
0.031 0 0.155134 0
0.032 0 0.15482 0
0.033 0 0.154497 0
0.034 0 0.154163 0
0.035 0 0.15382 0
0.036 0 0.153467 0
0.037 0 0.153104 0
0.038 0 0.152731 0
0.039 0 0.152348 0
0.04 0 0.151956 0
0.041 0 0.151554 0
0.042 0 0.151142 0
0.043 0 0.15072 0
0.044 0 0.150288 0
0.045 0 0.149847 0
0.046 0 0.149395 0
0.047 0 0.148934 0
0.048 0 0.148463 0
0.049 0 0.147983 0
0.05 0 0.147492 0
0.051 0 0.146992 0
0.052 0 0.146482 0
0.053 0 0.145962 0
0.054 0 0.145432 0
0.055 0 0.144893 0
0.056 0 0.144343 0
0.057 0 0.143784 0
0.058 0 0.143215 0
0.059 0 0.142636 0
0.06 0 0.142048 0
0.061 0 0.141449 0
0.062 0 0.140841 0
0.0629999 0 0.140223 0
0.064 0 0.139595 0
0.065 0 0.138958 0
0.066 0 0.13831 0
0.067 0 0.137653 0
0.068 0 0.136986 0
0.069 0 0.136309 0
0.07 0 0.135622 0
0.071 0 0.134926 0
0.072 0 0.134219 0
0.073 0 0.133503 0
0.074 0 0.132777 0
0.075 0 0.132042 0
0.076 0 0.131296 0
0.077 0 0.130541 0
0.078 0 0.129775 0
0.079 0 0.129 0
0.08 0 0.128216 0
0.081 0 0.127421 0
0.082 0 0.126617 0
0.083 0 0.125802 0
0.084 0 0.124978 0
0.085 0 0.124144 0
0.086 0 0.123301 0
0.087 0 0.122447 0
0.088 0 0.121584 0
0.089 0 0.120711 0
0.09 0 0.119828 0
0.091 0 0.118935 0
0.092 0 0.118033 0
0.093 0 0.117121 0
0.094 0 0.116198 0
0.095 0 0.115266 0
0.096 0 0.114325 0
0.097 0 0.113373 0
0.098 0 0.112412 0
0.099 0 0.111441 0
0.1 0 0.11046 0
0.101 0 0.109469 0
0.102 0 0.108468 0
0.103 0 0.107458 0
0.104 0 0.106437 0
0.105 0 0.105407 0
0.106 0 0.104368 0
0.107 0 0.103318 0
0.108 0 0.102258 0
0.109 0 0.101189 0
0.11 0 0.10011 0
0.111 0 0.0990211 0
0.112 0 0.097927 -1.42619e-15
0.113 2.77556e-23 0.0968292 -3.34086e-15
0.114 3.33067e-23 0.0957294 -4.94722e-15
0.115 -1.83187e-22 0.0946292 1.29891e-16
0.116 -6.66134e-22 0.0935301 2.03491e-14
0.117 -5.27356e-22 0.0924338 4.52162e-14
0.118 -4.996e-22 0.0913417 6.86855e-14
0.119 -8.27116e-22 0.0902556 1.00413e-13
0.12 -7.10543e-22 0.0891769 1.28107e-13
0.121 -2.01505e-21 0.0881072 2.92074e-13
0.122 -3.31957e-21 0.0870479 5.96461e-13
0.123 -5.33462e-21 0.0860007 9.85162e-13
0.124 -8.77076e-21 0.0849669 1.46569e-12
0.125 -9.36473e-21 0.0839481 2.0538e-12
0.126 -1.13798e-20 0.0829456 2.70833e-12
0.127 -1.76581e-20 0.0819608 3.43993e-12
0.128 -2.74891e-20 0.0809952 4.20425e-12
0.129 -2.02671e-20 0.08005 5.02646e-12
0.13 -1.37557e-20 0.0791267 5.85459e-12
0.131 -1.71918e-20 0.0782263 6.64464e-12
0.132 -2.06279e-20 0.0773503 7.40433e-12
0.133 -2.97484e-20 0.0764997 8.11373e-12
0.134 -4.91718e-20 0.0756757 8.77133e-12
0.135 -5.7937e-20 0.0748795 9.3903e-12
0.136 -5.74651e-20 0.0741121 1.00094e-11
0.137 -5.41511e-20 0.0733745 1.06557e-11
0.138 -5.15477e-20 0.0726678 1.12739e-11
0.139 -5.71154e-20 0.0719928 1.18801e-11
0.14 -5.07816e-20 0.0713504 1.24405e-11
0.141 -5.63494e-20 0.0707415 1.29513e-11
0.142 -3.74034e-20 0.0701668 1.34209e-11
0.143 -5.3274e-20 0.0696272 1.39515e-11
0.144 -6.91447e-20 0.0691232 1.45916e-11
0.145 -6.93834e-20 0.0686554 1.53014e-11
0.146 -5.29243e-20 0.0682245 1.59693e-11
0.147 -7.48346e-20 0.067831 1.66702e-11
0.148 -7.11653e-20 0.0674754 1.72453e-11
0.149 -5.68378e-20 0.0671579 1.77678e-11
0.15 -3.61155e-20 0.0668791 1.83074e-11
0.151 -2.74724e-20 0.0666391 1.88318e-11
0.152 -1.06577e-21 0.0664382 1.94086e-11
0.153 4.71897e-22 0.0662766 2.00169e-11
0.154 -4.34652e-20 0.0661545 2.24641e-11
0.155 -8.3139e-20 0.0660718 2.46527e-11
0.156 -1.62314e-20 0.0660285 2.66473e-11
0.157 7.33308e-21 0.0660247 2.84717e-11
0.158 -4.29989e-20 0.0660602 3.01558e-11
0.159 -1.51711e-20 0.0661349 3.1729e-11
0.16 -3.85025e-20 0.0662485 3.32085e-11
0.161 -1.06747e-20 0.0664007 3.4615e-11
0.162 -3.04534e-20 0.0665913 3.59014e-11
0.163 -7.79432e-20 0.0668198 3.71041e-11
0.164 -8.20898e-20 0.0670858 3.82201e-11
0.165 -4.5025e-20 0.0673888 3.93306e-11
0.166 -7.19091e-20 0.0677282 4.0451e-11
0.167 -4.6213e-20 0.0681035 4.15902e-11
0.168 -9.15711e-20 0.068514 4.27976e-11
0.169 -1.39771e-19 0.0689591 4.40749e-11
0.17 -1.70919e-19 0.0694379 4.53489e-11
0.171 -2.51804e-19 0.0699497 4.66148e-11
0.172 -1.60738e-19 0.0704937 4.79373e-11
0.173 -2.21728e-19 0.071069 4.91942e-11
0.174 -3.5093e-19 0.0716746 5.05805e-11
0.175 -3.7213e-19 0.0723096 5.19549e-11
0.176 -3.26539e-19 0.072973 5.33043e-11
0.177 -3.96055e-19 0.0736637 5.46186e-11
0.178 -3.81728e-19 0.0743807 5.58963e-11
0.179 -1.40027e-19 0.0751229 5.35384e-11
